IsWinner,MarketplaceId,ProductId,TimeOfOfferChange,ConditionNotes,IsFeaturedMerchant,IsFulfilledByAmazon,ListingPrice,ListingCurrency,SellerFeedbackRating,SellerFeedbackCount,SellerId,ShippingPrice,ShippingCurrency,ShippingTime_minHours,ShippingTime_maxHours,ShippingTime_availtype,ShipsDomestically,ShipsFromCountry,ShipsFromState,SubCondition
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,,1,0,134.15,CAD,82,28,3369377968127476899,51.69,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,,1,1,12.99,CAD,0,0,1207135739277432339,0.00,CAD,672,1008,NOW,1,,,new
1,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,14.40,CAD,96,35264,6791568714796518563,0.00,CAD,96,120,NOW,1,CA,QC,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,"BRAND NEW!! HST ALREADY INCLUDED IN PRICE! NO DUTY OR BROKERAGE FEES! Reliable service you",1,0,10.16,CAD,91,10606,-1177408302343430963,5.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,,1,0,10.97,CAD,95,10182,7102261811958052132,5.05,CAD,96,120,NOW,1,CA,BC,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,,0,0,7.87,CAD,98,3293,4143506568603310959,8.99,CAD,48,72,NOW,1,US,NY,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,"GST/HST Only, No PST. Part Mummber: USBPLATE",1,0,8.81,CAD,95,4384,-2572277640783537773,11.11,CAD,24,48,NOW,1,CA,ON,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,,0,0,14.46,CAD,0,0,5454313351608459239,5.54,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,".",1,0,13.19,CAD,98,478,5452082314297826053,6.99,CAD,24,48,NOW,1,CA,ON,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,,1,0,14.10,CAD,100,2,-9097393894851801879,6.18,CAD,24,48,NOW,1,FR,,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,,1,0,7.57,CAD,97,217,-7970120380487528724,12.95,CAD,24,48,NOW,1,CA,QC,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,,1,0,15.64,CAD,96,41419,9012427554787096099,6.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,"BRAND NEW!! HST ALREADY INCLUDED IN PRICE! NO DUTY OR BROKERAGE FEES! Reliable service you",1,0,17.17,CAD,91,10606,-1177408302343430963,5.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,"*Free shipping from Canada / Livraison GRATUITE depuis Canada*",1,0,23.85,CAD,100,4601,5657218934756058127,0.00,CAD,24,48,NOW,1,CA,ON,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,"Ownership. Respect. Family. An Employee Owned Company - 100% Canadian.",0,0,14.99,CAD,84,161,-3129154375621551414,8.99,CAD,24,48,NOW,1,CA,ON,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,"We ship by courier next day when possible on most items. We do not ship to PO boxes.We do",1,0,8.99,CAD,94,337,2760162070632027753,14.99,CAD,24,48,NOW,1,CA,QC,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,,1,0,14.28,CAD,88,8452,-6639690782514669126,9.90,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,"Flat Rate Courier Shipping. No shipping to PO boxes or remote areas. Trucking companies ar",1,0,13.09,CAD,98,105,-4763225123075092614,14.99,CAD,24,48,NOW,1,CA,QC,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,,1,0,18.19,CAD,96,1790,1788801474825896666,9.98,CAD,96,120,NOW,1,US,NY,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,,0,0,39.77,CAD,71,7,-5203594887869139290,0.00,CAD,48,72,NOW,1,,,new
0,1156461832353164887,-7405035237453204588,2016-02-04T04:30:05.605Z,,1,0,45.62,CAD,96,1289,403962612376694152,9.54,CAD,24,48,NOW,1,,,new
1,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,,1,1,40.98,CAD,0,0,1207135739277432339,0.00,CAD,0,0,NOW,1,,,new
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,,1,0,50.59,CAD,95,10182,7102261811958052132,6.58,CAD,96,120,NOW,1,CA,BC,new
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,,1,0,50.24,CAD,95,2283,8118683026995803963,10.42,CAD,144,240,NOW,1,CA,BC,new
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,62.85,CAD,96,35264,6791568714796518563,0.00,CAD,96,120,NOW,1,CA,QC,new
