,IsWinner,ProductId,TimeOfOfferChange,IsFeaturedMerchant,IsFulfilledByAmazon,ListingPrice,SellerFeedbackRating,SellerFeedbackCount,SellerId,ShippingPrice,ShippingTime_minHours,ShippingTime_maxHours,ShipsFromCountry,ShipsFromState
90,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,93.56,91,10606,-1177408302343430963,5.0,24,48,,
91,0,-5701463121023377686,2016-02-04T04:30:06.510Z,0,0,87.72,98,3293,4143506568603310959,13.09,48,72,US,NY
92,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,117.66,91,11930,-1888136325356517677,7.5,24,48,,
93,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,134.9,98,1446,1163115142515862290,0.0,24,48,US,CA
94,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,120.61,92,51,8994525145737931518,17.12,144,240,CA,ON
95,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,155.99,96,1289,403962612376694152,9.54,24,48,,
96,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,134.15,82,28,3369377968127476899,51.69,24,48,,
97,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,1,12.99,0,0,1207135739277432339,0.0,672,1008,,
98,1,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,14.4,96,35264,6791568714796518563,0.0,96,120,CA,QC
99,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,10.16,91,10606,-1177408302343430963,5.0,24,48,,
100,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,10.97,95,10182,7102261811958052132,5.05,96,120,CA,BC
101,0,-7405035237453204588,2016-02-04T04:30:05.605Z,0,0,7.87,98,3293,4143506568603310959,8.99,48,72,US,NY
102,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,8.81,95,4384,-2572277640783537773,11.11,24,48,CA,ON
103,0,-7405035237453204588,2016-02-04T04:30:05.605Z,0,0,14.46,0,0,5454313351608459239,5.54,24,48,,
104,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,13.19,98,478,5452082314297826053,6.99,24,48,CA,ON
105,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,14.1,100,2,-9097393894851801879,6.18,24,48,FR,
106,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,7.57,97,217,-7970120380487528724,12.95,24,48,CA,QC
107,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,15.64,96,41419,9012427554787096099,6.0,24,48,,
108,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,17.17,91,10606,-1177408302343430963,5.0,24,48,,
